kod,ilk_islem_tarihi,halka_arz_fiyati,acilis_tavan_serisi,en_uzun_seri_hesaplanan,toplam_tavan_gunu,ilk_gun_getiri_yuzde,ilk_gun_fiyat_guvenilir,islem_gunu_sayisi
MASFN,30 Temmuz 2026,45.68,0,0,0,-0.04,1,30
ALBTN,29 Temmuz 2026,38.6,0,2,4,-2.85,1,30
METEN,28 Temmuz 2026,20.0,2,2,6,10.0,1,30
SARAE,17 Temmuz 2026,70.0,6,6,8,10.0,1,30
SSAAT,16 Temmuz 2026,56.0,0,1,1,-10.0,1,30
ISVEA,10 Temmuz 2026,20.9,2,6,19,20.86,0,30
EKIM,9 Temmuz 2026,30.26,0,1,1,-9.98,1,30
GOLDA,8 Temmuz 2026,9.2,8,8,9,10.0,1,30
SOHOE,6 Temmuz 2026,15.0,1,1,1,10.0,1,30
ORZAX,7 Temmuz 2026,69.0,1,3,6,10.0,1,30
BETAE,1 Temmuz 2026,40.0,10,10,14,10.0,1,30
EKDMR,22 Mayıs 2026,45.0,4,4,6,10.0,1,30
AAGYO,9 Nisan 2026,21.1,0,1,1,7.28,1,30
MCARD,11 Mart 2026,80.0,0,3,10,7.08,1,30
LXGYO,10 Mart 2026,12.05,7,7,9,9.96,1,30
GENKM,6 Mart 2026,11.0,0,4,6,8.23,1,30
SVGYO,6 Mart 2026,3.64,11,11,20,9.85,1,30
EMPAE,26 Şubat 2026,22.0,6,6,12,9.9,1,30
ATATR,19 Şubat 2026,11.2,5,5,9,10.0,1,30
BESTE,11 Şubat 2026,14.7,10,10,13,10.0,1,30
AKHAN,6 Şubat 2026,21.5,4,4,4,9.95,1,30
NETCD,5 Şubat 2026,46.0,0,7,11,6.39,1,30
UCAYM,22 Ocak 2026,18.0,8,8,10,10.0,1,30
FRMPL,15 Ocak 2026,30.24,4,4,7,9.99,1,30
ZGYO,16 Ocak 2026,9.77,3,5,15,9.93,1,30
MEYSU,13 Ocak 2026,7.5,4,4,10,9.59,1,30
