kod,sirket_adi,url,talep_tarihi,sonuclar_aciklandi,halka_arz_fiyati,dagitim_yontemi,toplam_lot,sermaye_artisi_lot,ortak_satisi_lot,sermaye_artisi_yuzde,ortak_satisi_yuzde,bireysel_kisi,bireysel_lot,bireysel_lot_basina_kisi,ilk_islem_tarihi,fon_kullanim_yeri,yil
BVSAN,Bülbüloğlu Vinç San. ve Tic. A.Ş.,https://halkarz.com/bulbuloglu-vinc-san-ve-tic-a-s/,,0,31.00,Oransal Dağıtım,11500000.0,7600000.0,900000.0,89.41,10.59,nan,nan,nan,6 Şubat 2023,"- %40 Faaliyetleri devam eden fabrika binası inşaat maaliyetleri karşılanması. - %30 Makine ve teçhizat alımları. - %30 İşletme sermayesi. - İzahname, Sayfa 203.",2023
MACKO,Maçkolik İnternet Hizmetleri Tic. A.Ş.,https://halkarz.com/mackolik-internet-hizmetleri-tic-a-s/,,0,38.00,Eşit Dağıtım,8500000.0,nan,8500000.0,nan,nan,nan,nan,nan,26 Ocak 2023,"- Paylarını halka arz eden ortak ""İstanbul Portföy Yönetimi A.Ş. Pre-IPO Girişim Sermayesi Yatırım Fonu""nun mevcut paylarının halka arz kapsamında satılması yoluyla gerçekleştirileceğinden Şirket, herhangi bir gelir elde etmeyecektir. * İzahname, Sayfa 246.",2023
ASTOR,Astor Enerji A.Ş.,https://halkarz.com/astor-enerji-a-s/,,0,12.50,Oransal Dağıtım,175000000.0,148000000.0,27000000.0,84.57,15.43,nan,nan,nan,18 Ocak 2023,"- %40-45 Üretim tesisi ve yeni ürün yatırımları. - %10-15 Güneş enerjisi santrali yatırımları. - %25-25 Elektrik araç şarj istasyonu hizmeti yatırımları. - %20-25 İşletme sermayesi. - %20-25 Finansal borçların ödenmesi. * İzahname, Sayfa 263,264.",2023
TNZTP,Tapdi Oksijen Özel Sağlık ve Eğitim Hizmetleri San. Tic. A.Ş.,https://halkarz.com/tapdi-oksijen-ozel-saglik-ve-egitim-hizmetleri-san-tic-a-s/,,0,10.21,Eşit Dağıtım,28000000.0,28000000.0,0.0,100.0,0.0,nan,nan,nan,11 Ocak 2023,"- %20 Güneş enerjisi yatırımları. - %40 Hastane ruhsatı satın alma. - %20 Kapasite artırıcı tesis kurulumu. - %20 İşletme sermayesi. * İzahname, Sayfa 224.",2023
SOKE,Söke Değirmencilik San. ve Tic. A.Ş.,https://halkarz.com/soke-degirmencilik-san-ve-tic-a-s/,,0,7.50,Oransal Dağıtım,77500000.0,77500000.0,0.0,100.0,0.0,nan,nan,nan,12 Ocak 2023,"- %30 Güneş enerjisi santrali yatırımı. - %12.5 İlave hammadde ve mamul deposu kapasite artışı yatırımı. - %15 Unlu mamuller tesisi, tesis, makine ve cihaz yatırımı. - %35 İşletme sermayesi. - %7.5 Finansal yatırım. * İzahname, Sayfa 242,243.",2023
ARMGD,Armada Gıda Ticaret Sanayi A.Ş.,https://halkarz.com/armada-gida-ticaret-sanayi-a-s/,,0,40.00,Eşit Dağıtım,45830000.0,43996843.0,734080.0,98.36,1.64,436025.0,32997600.0,75.68,3 Ocak 2025,"- %40-50 Yatırımların fonlanması. - %45-50 İşletme sermayesi. * İzahname, Sayfa 307.",2024
SMRVA,Sümer Varlık Yönetim A.Ş.,https://halkarz.com/sumer-varlik-yonetim-a-s/,,0,22.00,Eşit Dağıtım,28000000.0,18000000.0,10000000.0,64.29,35.71,391702.0,27939512.0,71.33,18 Aralık 2024,"- %50 Yeni portföy alımları. - %50 Finansal borç ödemesi. * İzahname, Sayfa 200.",2024
CGCAM,Çağdaş Cam San. ve Tic. A.Ş.,https://halkarz.com/cagdas-cam-san-ve-tic-a-s/,,0,20.00,Eşit Dağıtım,42000000.0,31000000.0,11000000.0,73.81,26.19,627457.0,41911857.0,66.8,17 Aralık 2024,"- %30-35 Bina ve inşaat yatırımı. - %12-16 Makina ve ekipman yatırımı. - %10-15 Çatı üzeri ve arazi GES (Güneş Enerji Santrali) yatırımı. - %1-3 Verimlilik artırıcı dijital ve yalın üretim dönüşümü. - %36-42 İşletme sermayesi. * İzahname, Sayfa 228.",2024
BINBN,(binbin) Bin Ulaşım ve Akıllı Şehir Teknolojileri A.Ş.,https://halkarz.com/bin-ulasim-ve-akilli-sehir-teknolojileri-a-s/,,0,91.85,Eşit Dağıtım,17000000.0,12000000.0,4750000.0,71.64,28.36,277945.0,15407868.0,55.43,9 Ekim 2024,"- %20 Alternatif yatırım fırsatlarının değerlendirilmesi. - %30 Makina, taşıt, cihaz vb. mal ve hizmet alımı. - %30 Ticari borçlar ve grup şirketlerine olan borçların ödenmesi. - %20 İşletme sermayesi. * İzahname, Sayfa 184.",2024
DURKN,Durukan Şekerleme San. ve Tic. A.Ş.,https://halkarz.com/durukan-sekerleme-san-ve-tic-a-s/,,0,17.00,Eşit Dağıtım,42500000.0,32500000.0,5000000.0,86.67,13.33,687689.0,42401255.0,61.66,17 Eylül 2024,"- %40-45 Üretim kapasitesi artırıcı yatırımlar ve/veya güneş enerjisi yatırımı (GES). - %35-40 İşletme sermayesi. - %15-25 Finansal borçların ödenmesi. * İzahname, Sayfa 253.",2024
CEMZY,Cem Zeytin A.Ş.,https://halkarz.com/cem-zeytin-a-s/,,0,15.30,Eşit Dağıtım,100000000.0,100000000.0,0.0,100.0,0.0,437342.0,60000000.0,137.19,9 Eylül 2024,"- %35-40 İşletme kredilerinin geri ödenmesi. - %5-10 Çatı üzeri GES (Güneş Enerjisi Santrali) yatırımı. - %10-15 Mut tesisi. - %5-10 Tesis ve ekipman modernizasyonu. - %30-35 İşletme sermayesi. * İzahname, Sayfa 257.",2024
OZATD,Özata Denizcilik San. ve Tic. A.Ş.,https://halkarz.com/ozata-denizcilik-san-ve-tic-a-s/,,0,105.00,Eşit Dağıtım,13350000.0,11350000.0,2000000.0,85.02,14.98,618855.0,6675000.0,10.79,5 Eylül 2024,"- %40-45 Finansman giderlerinin azaltılması. - %20-25 Üst yapı ve alt yapı yatırımları. - %15-20 GES (Güneş Enerjisi Santrali) proje yatırımı. - %15-20 İşletme sermayesi. * İzahanme, Sayfa 256.",2024
AHSGY,Ahes Gayrimenkul Yatırım Ortaklığı A.Ş.,https://halkarz.com/ahes-gayrimenkul-yatirim-ortakligi-a-s/,,0,25.20,Eşit Dağıtım,50000000.0,50000000.0,0.0,100.0,0.0,389798.0,37500000.0,96.2,29 Ağustos 2024,"- %10-15 Finansal borç ödemesi. - %10-15 İştirak firmalarının sermaye ödemeleri. - %75-80 Mevcut arsaların geliştirme ve inşaat finansmanı. - %0-5 İşletme sermayesi. * İzahname, Sayfa 207.",2024
GUNDG,Gündoğdu Gıda Süt Ürünleri San. ve Dış Tic. A.Ş.,https://halkarz.com/gundogdu-gida-sut-urunleri-san-ve-dis-tic-a-s/,,0,35.00,Eşit Dağıtım,10000000.0,9000000.0,1000000.0,90.0,10.0,597860.0,9976189.0,16.69,22 Ağustos 2024,"- %25 Çiğ süt alımları. - %50 Yem alımları. - %25 Peşin alım esasıyla alınarak üretimde kullanılan ambalaj, koli vb. sarf malzemelerinin alımı. * İzahname, Sayfa 261.",2024
TCKRC,Kıraç Galvaniz Telekominikasyon Metal Makine İnşaat Elektrik San. ve Tic. A.Ş.,https://halkarz.com/kirac-galvaniz-telekominikasyon-metal-makine-insaat-elektrik-san-ve-tic-a-s/,,0,24.00,Eşit Dağıtım,45000000.0,45000000.0,0.0,100.0,0.0,667177.0,27000000.0,40.47,21 Ağustos 2024,"- %45 Devam eden tesis ve makine yatırımları. - %40 İşletme sermayesi. - %15 Finansal borç ödemeleri. * İzahname, Sayfa 233.",2024
BAHKM,Bahadır Kimya San. ve Tic. A.Ş.,https://halkarz.com/bahadir-kimya-san-ve-tic-a-s/,,0,51.00,Eşit Dağıtım,16000000.0,10000000.0,6000000.0,62.5,37.5,373692.0,8000000.0,21.41,13 Ağustos 2024,"- %20-30 Yeni fabrika yatırımı ve diğer alternatif yatırım fırsatlarının değerlendirilmesi. - %60-70 Hammadde tedariki. - %10-20 İşletme sermayesi. * İzahname, Sayfa 198.",2024
DCTTR,Dct Trading Dış Ticaret A.Ş.,https://halkarz.com/dct-trading-dis-ticaret-a-s/,,0,14.00,Eşit Dağıtım,37500000.0,30000000.0,7500000.0,80.0,20.0,400126.0,37353376.0,93.35,31 Temmuz 2024,"- %40 Çırçır fabrikası, depo ve ekipmanları yatırımı. - %10 Çeşitli şirketlerin paylarının satın alınması ve/veya iştirak edilmesi ve/veya yeni ortaklıklar kurulması. - %10 Üretim kapasite ve verimlilik artırımı, güneş enerjisi santrali (GES) yatırımları. - %40 İşletme sermayesi. * İzahname, Sayfa 162.",2024
SEGMN,Seğmen Kardeşler Gıda Üretim ve Ambalaj Sanayi A.Ş.,https://halkarz.com/segmen-kardesler-gida-uretim-ve-ambalaj-sanayi-a-s/,,0,30.00,Eşit Dağıtım,35000000.0,35000000.0,0.0,100.0,0.0,534481.0,19027981.0,35.6,4 Temmuz 2024,"- %50 İşletme sermayesi. - %20 Entegrasyon ve modernizasyon yatırımları. - %30 Yeni yatırımlar. * İzahname, Sayfa 303.",2024
EFOR,Efor Yatırım Sanayi Tic. A.Ş.,https://halkarz.com/efor-yatirim-sanayi-tic-a-s/,,0,14.50,Eşit Dağıtım,90000000.0,63000000.0,27000000.0,70.0,30.0,540512.0,67500000.0,124.88,5 Temmuz 2024,"- %25 Yatırımlar. - %5 Girişim sermayesi yatırımı. - %30 Finansal borçların ödenmesi. - %40 İşletme sermayesi. * İzahname, Sayfa 249.",2024
HOROZ,Horoz Lojistik Kargo Hizmetleri ve Tic. A.Ş.,https://halkarz.com/horoz-lojistik-kargo-hizmetleri-ve-tic-a-s/,,0,55.00,Eşit Dağıtım,20500000.0,18000000.0,2500000.0,87.8,12.2,1689136.0,18450000.0,10.92,7 Haziran 2024,"- %10-15 Elektrikli araç satın alımı. - %10-15 Güneş enerjisi santrali (GES) kurulması. - %20-25 E-Ticarete yönelik faaliyetlerin geliştirilmesi. - %5-10 Depoculuk ve lojistik hizmetlerinin geliştirilmesi. - %40-45 İşletme sermayesi. * İzahname, Sayfa 276.",2024
YIGIT,Yiğit Akü Malzemeleri Nakliyat Turizm İnşaat San. ve Tic. A.Ş.,https://halkarz.com/yigit-aku-malzemeleri-nakliyat-turizm-insaat-san-ve-tic-a-s/,,0,34.68,Eşit Dağıtım,75000000.0,50500000.0,10500000.0,82.79,17.21,1917963.0,59250000.0,30.89,6 Haziran 2024,"- %20 Üretim tesisi ve yeni ürün yatırımları. - %40 Lityum batarya fabrikası yatırımları. - %30 İşletme sermayesi. - %10 Finansal borçların ödenmesi. * İzahname, Sayfa 225.",2024
ALKLC,Altınkılıç Gıda ve Süt San. Tic. A.Ş.,https://halkarz.com/altinkilic-gida-ve-sut-san-tic-a-s/,,0,22.98,Eşit Dağıtım,33885000.0,33885000.0,0.0,100.0,0.0,1284727.0,33806958.0,26.31,4 Haziran 2024,"- %65-70 İşletme sermayesi. - %10-12 Burhaniye OSB tesis yatırımı. - %3-4 Makine alım, iyileştirme ve modernizasyon. - %4-5 Mevcut yeni ürünlere ilişkin reklam ve pazarlama faaliyetleri. - %12-15 Finansal borçların kapatılması. * İzahname, Sayfa 237.",2024
OZYSR,Özyaşar Tel ve Galvanizleme San. A.Ş.,https://halkarz.com/ozyasar-tel-ve-galvanizleme-san-a-s/,,0,28.00,Eşit Dağıtım,26000000.0,18200000.0,6240000.0,74.47,25.53,1560945.0,31129778.0,19.94,29 Mayıs 2024,"- %30 İşletme sermayesi. - %40 Finansman maliyetinin azaltılması. - %30 Yatırım finansmanı ve makine/teçhizat alımları. * İzahname, Sayfa 237.",2024
ONRYT,Onur Yüksek Teknoloji A.Ş.,https://halkarz.com/onur-yuksek-teknoloji-a-s/,,0,49.50,Eşit Dağıtım,19730000.0,12830000.0,3200000.0,80.04,19.96,1534483.0,19534347.0,12.73,28 Mayıs 2024,"- %12,5 İşletme sermayesi. - %57,20 Yenilenebilir enerji yatırımları. - %20 Finansal borç ödemeleri. - %5 Ar-ge faaliyetleri. - %5 Ofis ve teknik alanlar kapasitesi artırımı. * İzahname, Sayfa 285.",2024
HRKET,Hareket Proje Taşımacılığı ve Yük Mühendisliği A.Ş.,https://halkarz.com/hareket-proje-tasimaciligi-ve-yuk-muhendisligi-a-s/,,0,70.00,Eşit Dağıtım,24000000.0,19200000.0,3168000.0,85.84,14.16,1956272.0,17760000.0,9.08,23 Mayıs 2024,"- %50-60 Makine, ekipman, tesis ve proje yatırımları. - %20-25 Finansal borçların ödenmesi. - %20-25 İşletme sermayesi. * İzahname, Sayfa 225.",2024
KOCMT,Koç Metalurji A.Ş.,https://halkarz.com/koc-metalurji-a-s/,,0,20.50,Eşit Dağıtım,125000000.0,105000000.0,20000000.0,84.0,16.0,2633984.0,87500000.0,33.22,17 Mayıs 2024,"- %35 Hammadde yatırımı. - %10 Mevcut üretim tesisinin modernizasyonu. - %35 Yenilenebilir enerji yatırımlarının finansmanı. - %20 Hammadde tedariki ve işletme sermayesi. * İzahname, Sayfa 201.",2024
ALTNY,Altınay Savunma Teknolojileri A.Ş.,https://halkarz.com/altinay-savunma-teknolojileri-a-s/,,0,32.00,Eşit Dağıtım,58823530.0,35294118.0,11764706.0,75.0,25.0,3627803.0,40588236.0,11.19,16 Mayıs 2024,"- %50 Yeni tesis ve üretim teknolojileri yatırımları. - %15 Test ve doğrulama teknolojileri ile ar-ge ve ür-ge yatırımları. - %5 Global satış ve pazarlama ağı yatırımları. - %15 İşletme sermayesi. - %5 Finansal borç ödemeleri. - %10 Şirket satın alımı ve/veya iş ortaklıkları kurulması. * İzahname, Sayfa 346.",2024
KOTON,Koton Mağazacılık Tekstil San. ve Tic. A.Ş.,https://halkarz.com/koton-magazacilik-tekstil-san-ve-tic-a-s/,,0,30.50,Eşit Dağıtım,136600000.0,34150000.0,94350000.0,26.58,73.42,3471254.0,115427000.0,33.25,10 Mayıs 2024,"- %30-40 Yurt içi ve yurt dışı mağaza açılışları ve yenilemeleri, depo otomasyon yatırımları ile bilgi teknolojileri yatırımları. - %60-70 İşletme sermayesi. * İzahname, Sayfa 378.",2024
LILAK,Lila Kağıt San. ve Tic. A.Ş.,https://halkarz.com/lila-kagit-san-ve-tic-a-s/,,0,37.39,Eşit Dağıtım,120000000.0,90000000.0,5172000.0,94.57,5.43,3494553.0,84000000.0,24.04,9 Mayıs 2024,"- %30 Erzurum fabrika yatırımı. - %15 Ergene fabrika yatırımları. - %15 Yenilenebilir enerji yatırımı. - %30 İşletme sermayesi. - %10 Finansal borçluluk seviyesinin azaltılması. * İzahname, Sayfa 333.",2024
RGYAS,Rönesans Gayrimenkul Yatırım A.Ş.,https://halkarz.com/ronesans-gayrimenkul-yatirim-a-s/,,0,135.00,Eşit Dağıtım,33357450.0,27283112.0,6074338.0,81.79,18.21,2454093.0,26685960.0,10.87,26 Nisan 2024,"- %60-65 Finansal borç geri ödemesi. - %5-10 İlişkili taraflara ticari olmayan borç geri ödemesi. - %15-20 Maltepe Park konut yatırımı. - %15-15 İşletme sermayesi. * İzahname, Sayfa 353.",2024
ENTRA,Ic Enterra Yenilenebilir Enerji A.Ş.,https://halkarz.com/ic-enterra-yenilenebilir-enerji-a-s/,,0,10.00,Eşit Dağıtım,369565717.0,226986323.0,142579394.0,61.42,38.58,3586255.0,277174288.0,77.29,4 Nisan 2024,"- %8-15 Bağıştaş GES(Güneş Enerjisi Santrali) projesi. - %25-55 Erzin-2 GES(Güneş Enerjisi Santrali) projesi. - %10-20 Depolamalı RES(Rüzgar Enerjisi Santrali) ve GES(Güneş Enerjisi Santrali) projeleri. - %25-40 Yeni yenilenebilir enerji santrali yatırımları. * İzahname, Sayfa 362.",2024
ODINE,Odine Solutions Teknoloji Tic. ve San. A.Ş.,https://halkarz.com/odine-solutions-teknoloji-tic-ve-san-a-s/,,0,30.00,Eşit Dağıtım,44200000.0,22100000.0,3715871.0,85.61,14.39,3198260.0,26520000.0,8.29,21 Mart 2024,"- %52,5-62,5 Yurt dışı yatırımları. - %30-40 İşletme sermayesi. - %5-10 Yeni ürün ve çözümlerin finansmanı. * İzahname, Sayfa 223.",2024
MOGAN,Mogan Enerji Yatırım Holding A.Ş.,https://halkarz.com/mogan-enerji-yatirim-holding-a-s/,,0,11.33,Eşit Dağıtım,262635000.0,210108000.0,26263500.0,88.89,11.11,3502171.0,210108000.0,59.99,7 Mart 2024,"- %45 Enerji sektöründe büyüme. - %45 Finansal borçların azaltılması. - %10 İşletme sermayesi. * İzahname, Sayfa 327.",2024
ARTMS,Artemis Halı A.Ş.,https://halkarz.com/artemis-hali-a-s/,,0,25.35,Eşit Dağıtım,20000000.0,20000000.0,0.0,100.0,0.0,2185014.0,19959421.0,9.13,4 Mart 2024,"- %40-50 Makine & teçhizat yatırımları, çatı güneş enerjisi santrali (GES) yatırımları. - %25-30 Finansal borçların geri ödemesi. - %25-30 İşletme sermayesi. * İzahname, Sayfa 198.",2024
OBAMS,Oba Makarnacılık San. ve Tic. A.Ş.,https://halkarz.com/oba-makarnacilik-san-ve-tic-a-s/,,0,39.24,Eşit Dağıtım,96336345.0,72252259.0,12042043.0,85.71,14.29,3388122.0,47204809.0,13.93,1 Mart 2024,"- %40-50 Ürün çeşitlendirme, enerji ve kapasite artışı yatırımları. - %30-40 İşletne sermayesi. - %10-20 Finansal borçların azaltılması. * İzahname, Sayfa 258.",2024
ALVES,Alves Kablo San. ve Tic. A.Ş.,https://halkarz.com/alves-kablo-san-ve-tic-a-s/,,0,19.45,Eşit Dağıtım,40000000.0,40000000.0,0.0,100.0,0.0,2870401.0,32000000.0,11.15,29 Şubat 2024,"- %35-40 İhracata yönelik üretim kapasite artırımı için makine ve teknolojik yatırımlar. - %30-35 Finansal borçların geri ödemesi. - %30-35 İşletme sermayesi. * İzahname, Sayfa 261.",2024
LMKDC,Limak Doğu Anadolu Çimento San. ve Tic. A.Ş.,https://halkarz.com/limak-dogu-anadolu-cimento-san-ve-tic-a-s/,,0,16.20,Eşit Dağıtım,155930000.0,130000000.0,25930000.0,83.37,16.63,3243525.0,109151000.0,33.65,22 Şubat 2024,"- %100 Ergani Fabrikası'nın devralınması. * İzahname, Sayfa 215.",2024
BORSK,Bor Şeker A.Ş.,https://halkarz.com/bor-seker-a-s/,,0,26.54,Eşit Dağıtım,70000000.0,40000000.0,15000000.0,72.73,27.27,2598451.0,41361289.0,15.92,15 Şubat 2024,"- %45 İşletme sermayesi. - %50 GES (Güneş Enerjisi Santrali) yatırımı, entegrasyon ve modernizasyon yatırımları, gübre tesisi yatırımları. - %5 Ar-Ge Faaliyetleri. * İzahname, Sayfa 215.",2024
PATEK,Pasifik Teknoloji A.Ş.,https://halkarz.com/pasifik-teknoloji-a-s/,,0,35.00,Eşit Dağıtım,27000000.0,14000000.0,4333334.0,76.36,23.64,2390045.0,18900000.0,7.91,13 Şubat 2024,"- %45 Yatırım harcamaları. - %35 Ar-Ge yeni ürün yatırımları. - %20 İşletme sermayesi. * İzahname, Sayfa 213.",2024
ARFYE,Arf Bio Yenilenebilir Enerji Üretim A.Ş.,https://halkarz.com/arf-bio-yenilenebilir-enerji-uretim-a-s/,,0,19.50,Eşit Dağıtım,47000000.0,35500000.0,11500000.0,75.53,24.47,508244.0,23500000.0,46.24,5 Ocak 2026,"- %55 Hammadde tedariki ve işletme sermayesi finansmanı. - %15 Mikro alg yatırımının finansmanı. - %30 Finansal ve cari borç ödemeleri. * İzahname, Sayfa 276.",2025
ZERGY,Zeray Gayrimenkul Yatırım Ortaklığı A.Ş.,https://halkarz.com/zeray-gayrimenkul-yatirim-ortakligi-a-s/,,0,13.00,Eşit Dağıtım,156800000.0,116000000.0,40800000.0,73.98,26.02,348179.0,78400000.0,225.17,18 Aralık 2025,"- %20-30 Yeni projelerin finansmanı. - %65-75 Yüklenici firmalara hakediş ödemeleri. - %0-10 Finansal borçların ödenmesi. - %0-5 İşletme sermayesi. * İzahname, Sayfa 289.",2025
PAHOL,Pasifik Holding A.Ş.,https://halkarz.com/pasifik-holding-a-s/,,0,1.50,Eşit Dağıtım,4000000000.0,2000000000.0,666666668.0,75.0,25.0,649369.0,1600000000.0,2463.93,21 Kasım 2025,"- %80 Yatırımlar. - %10 Finansal borçların ödenmesi. - %10 İşletme sermayesi. * İzahname, Sayfa 462.",2025
VAKFA,Vakıf Faktoring A.Ş.,https://halkarz.com/vakif-faktoring-a-s/,,0,14.20,Eşit Dağıtım,225000000.0,50000000.0,107834821.0,31.68,68.32,684223.0,135000000.0,197.3,20 Kasım 2025,"- %100 Faktoring işlemlerinin finansmanı. * İzahname, Sayfa 239.",2025
ECOGR,Ecogreen Enerji Holding A.Ş.,https://halkarz.com/ecogreen-enerji-holding-a-s/,,0,10.40,Eşit Dağıtım,110000000.0,110000000.0,0.0,100.0,0.0,478335.0,44000000.0,91.99,3 Kasım 2025,"- %70 Yatırım finansmanı. - %20 Kredi ödemesi. - %10 İşletme sermayesi. * İzahname, Sayfa 430.",2025
MARMR,Marmara Holding A.Ş.,https://halkarz.com/marmara-holding-a-s/,,0,,,nan,nan,0.0,nan,nan,nan,nan,nan,16 Eylül 2025,,2025
DOFRB,Dof Robotik Sanayi A.Ş.,https://halkarz.com/dof-robotik-sanayi-a-s/,,0,45.00,Eşit Dağıtım,45000000.0,30000000.0,12000000.0,71.43,28.57,340447.0,18000000.0,52.87,11 Eylül 2025,"- %10 Üretim ve ofis alanlarının genişlemesi. - %5 GES ve yeşil dönüşüm. - %5-10 Ar-Ge yatırımları. - %10 Pazarlama ve satış. - %10 Makine, ekipman ve proje yatırımları. - %5 Girişim sermayesi yatırımları. - %15 Finansal borç ödenmesi. - %35-40 İşletme sermayesi. * İzahname, Sayfa 277.",2025
DMLKT,Damla Kent Projesi Gayrimenkul Sertifikası,https://halkarz.com/damla-kent-projesi-gayrimenkul-sertifikasi/,,0,7.59,Oransal Dağıtım,1923481733.0,nan,0.0,nan,nan,nan,nan,nan,14 Ağustos 2025,"- Sertifika'ya konu Proje'nin İhraççı ve/veya TOKİ tarafından finansmanında kullanılacaktır. * Sermaye Piyasası Aracı Notu, Sayfa 28.",2025
BULGS,Bulls Girişim Sermayesi Yatırım Ortaklığı A.Ş.,https://halkarz.com/bulls-girisim-sermayesi-yatirim-ortakligi-a-s/,,0,12.18,Eşit Dağıtım,72500000.0,68000000.0,4500000.0,93.79,6.21,171029.0,39875000.0,233.15,21 Şubat 2025,"- %40 Savunma sanayi sektörü şirketlerine yatırım. - %50 Diğer sektörlerde faaliyet gösteren şirketlere yatırım. - %10 İşletme sermayesi. * İzahname, Sayfa 265.",2025
BALSU,Balsu Gıda San. ve Tic. A.Ş.,https://halkarz.com/balsu-gida-san-ve-tic-a-s/,,0,17.57,Eşit Dağıtım,278000000.0,112000000.0,166000000.0,40.29,59.71,200209.0,168334375.0,840.79,20 Şubat 2025,"- %40 Devam eden yurt içi ve yurt dışı yatırımlarına ek kaynak ve yurt içi yeni yatırımlara kaynak sağlamak. - %30 İşletme sermayesi. - %30 Banka kredilerinin ödenmesi. * İzahname, Sayfa 344.",2025
KLYPV,Kalyon Güneş Teknolojileri Üretim A.Ş.,https://halkarz.com/kalyon-gunes-teknolojileri-uretim-a-s/,,0,70.30,Eşit Dağıtım,46334639.0,36141018.0,10193621.0,78.0,22.0,289776.0,16314253.0,56.3,13 Şubat 2025,"- %25 Yatırım harcamaları. - %45 İşletme sermayesi. - %30 Kredi geri ödemesi. * İzahname, Sayfa 321.",2025
ENDAE,Enda Enerji Holding A.Ş.,https://halkarz.com/enda-enerji-holding-a-s/,,0,17.44,Eşit Dağıtım,91719684.0,100000000.0,0.0,100.0,0.0,286905.0,84065044.0,293.01,13 Şubat 2025,"- %100 İşletme sermayesi. * İzahname, Sayfa 419.",2025
VSNMD,Vişne Madencilik Üretim San. ve Tic. A.Ş.,https://halkarz.com/visne-madencilik-uretim-san-ve-tic-a-s/,,0,37.44,Eşit Dağıtım,24000000.0,17000000.0,3500000.0,82.93,17.07,228291.0,14273489.0,62.52,11 Şubat 2025,"- %40-45 Çelemli fabrikası hammadde hazırlama (kırma-eleme) tesis kurulumu, tüm destek ekipmanları ve altyapısı. - %3-7 Çelemli fabrikası hidrolik kireç karışım hattı kurulması. - %8-10 Narlı fabrikası kireç söndürme, sarım tesisi, büyük çuval dolumu, paketleme ve ambalaj tesisi. - %19-23 Narlı fabrikası mikronize kireç öğütme hattı ve ekipman kurulumu. - %20-25 Kredilerin kapatılması. * İzahname, Sayfa 255.",2025
DSTKF,Destek Finans Faktoring A.Ş.,https://halkarz.com/destek-finans-faktoring-a-s/,,0,46.98,Eşit Dağıtım,83333333.0,83333333.0,0.0,100.0,0.0,125801.0,10397682.0,82.65,6 Şubat 2025,"- %100 Faktoring işlemlerinin finansmanı. * İzahname, Sayfa 201.",2025
BIGEN,Birleşim Grup Enerji Yatırımları A.Ş.,https://halkarz.com/birlesim-grup-enerji-yatirimlari-a-s/,,0,12.14,Eşit Dağıtım,115500000.0,77000000.0,19250000.0,80.0,20.0,188384.0,46163696.0,245.05,5 Şubat 2025,"- %35-45 Şirket ve bağlı ortaklıklarının finansal yapısının güçlendirilmesi ve finansman maliyetinin azaltılması. - %20-25 İnorganik bütümenin finansmanı. - %15-25 Elektrik enerjisi üretim kapasitesi artırımı. - %5-15 Yenileme yatırımları. - %5-15 İşletme sermayesi. * İzahname, Sayfa 331.",2025
SERNT,Seranit Granit Seramik San. ve Tic. A.Ş.,https://halkarz.com/seranit-granit-seramik-san-ve-tic-a-s/,,0,12.00,Eşit Dağıtım,150050000.0,128600000.0,21450000.0,85.7,14.3,153011.0,40562881.0,265.1,4 Şubat 2025,"- %55 Finansal borçların ödenmesi. - %30 İşletme sermayesi. - %15 Satış pazarlama ağının güçlendirilmesi ve dijitalleşme süreci. * İzahname, Sayfa 274.",2025
MOPAS,Mopaş Marketcilik Gıda San. ve Tic. A.Ş.,https://halkarz.com/mopas-marketcilik-gida-san-ve-tic-a-s/,,0,35.00,Eşit Dağıtım,57330000.0,43000000.0,2903258.0,93.68,6.32,235408.0,22048560.0,93.66,29 Ocak 2025,"- %40-45 Yeni mağaza yatırımları. - %15-20 GES (Güneş Enerjisi Santrali) yatırımları. - %15 Tarımsal yatırımlar. - %15 İşletme sermayesi. - %10 E-ticaret ve teknoloji yatırımları. * İzahname, Sayfa 276.",2025
AKFIS,Akfen İnşaat Turizm ve Ticaret A.Ş.,https://halkarz.com/akfen-insaat-turizm-ve-ticaret-a-s/,,0,38.70,Eşit Dağıtım,95487612.0,66841328.0,28646284.0,70.0,30.0,260628.0,22155886.0,85.01,23 Ocak 2025,"- %35-45 Finansal borçluluk seviyesinin azaltılması. - %55-65 Yatırım finansmanı. - %0-10 İşletme sermayesi. * İzahname, Sayfa 347.",2025
GLRMK,Gülermak Ağır Sanayi İnşaat ve Taahhüt A.Ş.,https://halkarz.com/gulermak-agir-sanayi-insaat-ve-taahhut-a-s/,,0,125.00,Eşit Dağıtım,32300000.0,22600000.0,6596000.0,77.41,22.59,595287.0,15504000.0,26.04,17 Ocak 2025,"- %45-50 Makine ve ekipman alımı. - %30-35 KÖİ Projesi işletme sermayesi. - %20-25 Finansman maliyetinin azaltılması. * İzahname, Sayfa 283.",2025
EGEGY,Egeyapı Avrupa Gayrimenkul Yatırım Ortaklığı A.Ş.,https://halkarz.com/egeyapi-avrupa-gayrimenkul-yatirim-ortakligi-a-s/,,0,15.00,Eşit Dağıtım,61200000.0,42200000.0,19000000.0,68.95,31.05,348119.0,36720000.0,105.48,14 Ocak 2025,"- %45 Modernyaka projesinin finansmanı. - %40 Kekliktepe projesinin finansmanı. - %10 Diğer projelerin finansmanı. - %5 Pazarlama ve genel yönetim giderlerinin finansmanı. * İzahname, Sayfa 207.",2025
