kod,sirket_adi,url,talep_tarihi,sonuclar_aciklandi,halka_arz_fiyati,dagitim_yontemi,toplam_lot,sermaye_artisi_lot,ortak_satisi_lot,sermaye_artisi_yuzde,ortak_satisi_yuzde,bireysel_kisi,bireysel_lot,bireysel_lot_basina_kisi,ilk_islem_tarihi,fon_kullanim_yeri,yil
VRGYO,Vera Konsept Gayrimenkul Yatırım Ortaklığı A.Ş.,https://halkarz.com/vera-konsept-gayrimenkul-yatirim-ortakligi-a-s/,,0,15.78,Eşit Dağıtım,55000000.0,55000000.0,0.0,100.0,0.0,3878174.0,38500000.0,9.93,27 Ekim 2023,"- %25-25 Konsept Vera Projesi'nin finansmanı. - %30-40 Gölbaşı projesi finansmanı. - %30-40 Arsa alımları, geliştirilecek projelerin finansmanı. - %0-5 İşletme sermayesi. * İzahname, Sayfa 163.",2023
MHRGY,Mhr Gayrimenkul Yatırım Ortaklığı A.Ş.,https://halkarz.com/mhr-gayrimenkul-yatirim-ortakligi-a-s/,,0,4.30,Eşit Dağıtım,207000000.0,207000000.0,0.0,100.0,0.0,3271977.0,206595587.0,63.14,18 Ekim 2023,"- %100 Şirketin gayrimenkul porföyünün genişletilmesi amacıyla iktisap edilecek yeni gayrimenkullerin finansmanında veya kat karşılığı, hasılat payı karşılığı inşaat projelerinin geliştirilmesi ile kentsel dönüşüm projelerinin finansmanında kullanılacaktır. * İzahname, Sayfa 199.",2023
BORLS,Borlease Otomotiv A.Ş.,https://halkarz.com/borlease-otomotiv-a-s/,,0,25.29,Eşit Dağıtım,47000000.0,28200000.0,18800000.0,60.0,40.0,4222549.0,39950000.0,9.46,19 Ekim 2023,"- %65-70 Yeni taşıt alımı. - %30-35 İşletme sermayesi, mevcut kredi borçlarının geri ödenmesi. * İzahname, 299.",2023
DOFER,Dofer Yapı Malzemeleri San. ve Tic. A.Ş.,https://halkarz.com/dofer-yapi-malzemeleri-san-ve-tic-a-s/,,0,17.11,Eşit Dağıtım,17000000.0,14000000.0,1590000.0,89.8,10.2,3274796.0,16969147.0,5.18,16 Ekim 2023,"- %45 Makine alımı, çatı güneş enerjisi yatırımı ve ilave fabrika inşaatı. - %20 Finansal borçların ödenmesi. - %35 İşletme sermayesi. * İzahname, 183.",2023
MEKAG,Meka Global Makine İmalat San. ve Tic. A.Ş.,https://halkarz.com/meka-global-makine-imalat-san-ve-tic-a-s/,,0,25.00,Eşit Dağıtım,16900000.0,12500000.0,4400000.0,73.96,26.04,3173433.0,16869714.0,5.32,12 Ekim 2023,"- %42-45 Yatırım harcamaları. - %42-45 İşletme sermayesi. - %5-8 Güneş enerjisi santrali kurulumu. - %5-8 Arge ve Ürge harcamaları. * İzahname, Sayfa 256.",2023
DMRGD,Dmr Unlu Mamuller Üretim Gıda Toptan Perakende İhracat A.Ş.,https://halkarz.com/dmr-unlu-mamuller-uretim-gida-toptan-perakende-ihracat-a-s/,,0,10.24,Eşit Dağıtım,75000000.0,75000000.0,0.0,100.0,0.0,2973896.0,40500000.0,13.62,29 Eylül 2023,"- %30 Mevcut üretim tesisinde yapılacak makine ve ekipman yatırımlarının finansmanı. - %40 Mağazacılık faaliyetlerinin geliştirilmesi. - %30 İşletme sermayesi. * İzahname, Sayfa 178,179.",2023
ADGYO,Adra Gayrimenkul Yatırım Ortaklığı A.Ş.,https://halkarz.com/adra-gayrimenkul-yatirim-ortakligi-a-s/,,0,22.66,Eşit Dağıtım,73700000.0,73700000.0,0.0,100.0,0.0,nan,nan,nan,20 Eylül 2023,"- %25-30 Şehzadeler Projesi. - %20-25 Narlı Edremit Projesi. - %15-20 Edremit - Yolören Projesi. - %10-15 Turgutlu Projesi. - %5-10 Potansiyel gayrimenkul alımları ve proje geliştirme. * İzahname, Sayfa 225.",2023
HATSN,Hat-San Gemi İnşaa Bakım Onarım Deniz Nakliyat San. ve Tic. A.Ş.,https://halkarz.com/hat-san-gemi-insaa-bakim-onarim-deniz-nakliyat-san-ve-tic-a-s/,,0,22.60,Eşit Dağıtım,44300000.0,33462907.0,10837093.0,75.54,24.46,3735310.0,31010000.0,8.3,22 Eylül 2023,"- %75-85 Yüzer havuz inşası ya da satın alınması. - %15-25 Elektrik üretim santrali kurulumu, mevcut tesislerin iyileştirilmesi & yenilenmesi. * İzahname, Sayfa 241.",2023
REEDR,Reeder Teknoloji San. ve Tic. A.Ş.,https://halkarz.com/reeder-teknoloji-san-ve-tic-a-s/,,0,9.30,Eşit Dağıtım,215000000.0,170000000.0,45000000.0,79.07,20.93,4208248.0,182750000.0,43.43,21 Eylül 2023,"- %50 İşletme sermayesi. - %20 Tesis makine ve cihaz yatırımları ile kapasite artışı. - %15 Cep telefonu LCD paneli üretimi tesisi yatırımı. - %5 Cep telefonu batarya üretim tesisi yatırımı. - %5 Arge ve Ürge çalışmaları. - %5 Girişim/teknoloji yatırımları. * İzahname, Sayfa 292.",2023
GIPTA,Gıpta Ofis Kırtasiye ve Promosyon Ürünleri İmalat San. A.Ş.,https://halkarz.com/gipta-ofis-kirtasiye-ve-promosyon-urunleri-imalat-san-a-s/,,0,20.90,Eşit Dağıtım,40000000.0,32000000.0,3616941.0,89.84,10.16,3364768.0,28000000.0,8.32,14 Eylül 2023,"- %35-40 Yurtiçi üretim kapasitesi artırılması için ilave makine alımı, çatı güneş enerjisi yatırmı ve ilave fabrika inşaatının yapılması. - %40-45 İşletme sermayesi finansmanı. - %25-30 Finansal borç ödemeleri. * İzahname, Sayfa 201,211.",2023
TARKM,Tarkim Bitki Koruma San. ve Tic. A.Ş.,https://halkarz.com/tarkim-bitki-koruma-san-ve-tic-a-s/,,0,107.50,Eşit Dağıtım,5000000.0,5000000.0,0.0,100.0,0.0,nan,nan,nan,12 Eylül 2023,"- %50 Fabrika yatırımı (Makine ekipman, inşaat işleri vb). - %25 Kısa vadeli borçların ödenmesi. - %25 İşletme sermayesi. * İzahname, Sayfa 221.",2023
EBEBK,Ebebek Mağazacılık A.Ş.,https://halkarz.com/ebebek-magazacilik-a-s/,,0,46.50,Eşit Dağıtım,40000000.0,24000000.0,8387005.0,74.1,25.9,3803496.0,19200000.0,5.05,7 Eylül 2023,"- %55 Yurt içi ve yurt dışı mağazalaşma ve online kanal yatırımları. - %10 Yenilenebilir enerji (GES) yatırımları. - %35 İşletme sermayesi. * İzahname, Sayfa 272.",2023
KZGYO,Kuzugrup Gayrimenkul Yatırım Ortaklığı A.Ş.,https://halkarz.com/kuzugrup-gayrimenkul-yatirim-ortakligi-a-s/,,0,20.76,Eşit Dağıtım,50000000.0,25000000.0,25000000.0,50.0,50.0,2085606.0,27500000.0,13.19,29 Ağustos 2023,"- %65-75 Finansman ödemesi. - %20-25 Rezidansların tefrişi yatırımı. - %5-10 İşletme sermayesi. * İzahname, Sayfa 187.",2023
BYDNR,Baydöner Restoranları A.Ş.,https://halkarz.com/baydoner-restoranlari-a-s/,,0,21.00,Eşit Dağıtım,18000000.0,14000000.0,2000000.0,87.5,12.5,1262310.0,17973637.0,14.24,21 Ağustos 2023,"- %25-30 Kırmızı et işleme ve tereyağı üretim tesisi faaliyete geçirilmesi. - %15-20 Finansal borçların azaltılması. - %15-30 Şirketin büyümesinin finansmanı. - %35-45 İşletme sermayesi. * İzahname, Sayfa 220.",2023
ENERY,Enerya Enerji A.Ş.,https://halkarz.com/enerya-enerji-a-s/,,0,88.76,Eşit Dağıtım,39000000.0,25000000.0,14000000.0,64.1,35.9,2636849.0,27300000.0,10.35,23 Ağustos 2023,"- %75-85 Enerji, finans sektöründe satın alma, yatırım yapılması. - %5-10 Bağlı gaz dağıtım şirketlerinin yatırım harcamaları. - %10-15 İşletme sermayesi. * İzahname, Sayfa 284.",2023
TATEN,Tatlıpınar Enerji Üretim A.Ş.,https://halkarz.com/tatlipinar-enerji-uretim-a-s/,,0,22.50,Eşit Dağıtım,70200000.0,35100000.0,21060000.0,62.5,37.5,2233047.0,49159874.0,22.01,17 Ağustos 2023,"- %30-35 Rüzgar enerjisi santrali kapasite artışı yatırımları. - %35-40 Hibrit güneş enerjisi santrali yatırımları. - %30-35 Kredi geri ödemeleri. * İzahname, Sayfa 266.",2023
OFSYM,Ofis Yem Gıda San. Tic. A.Ş.,https://halkarz.com/ofis-yem-gida-san-tic-a-s/,,0,27.20,Eşit Dağıtım,22750000.0,16250000.0,2600000.0,86.21,13.79,1422620.0,22712754.0,15.97,16 Ağustos 2023,"- %50-60 Finansal borçların kapatılması. - %10-20 İşletme sermayesi. - %15-20 Yatırım harcamaları. * İzahname, Sayfa 244.",2023
